ChEMBL_ID,pKa_Acid
CHEMBL70,10.26
CHEMBL485,13.78
CHEMBL364713,13.07
CHEMBL19224,
CHEMBL459324,
CHEMBL656,13.57
CHEMBL1712170,13.78
CHEMBL651,
CHEMBL1595,
CHEMBL1237044,13.80
CHEMBL100116,10.42
CHEMBL33986,9.86
CHEMBL895,10.39
CHEMBL592,10.46
CHEMBL1201776,10.28
CHEMBL607,
CHEMBL596,
CHEMBL658,
CHEMBL634,
CHEMBL1005,
CHEMBL841,13.96
CHEMBL651,
CHEMBL511142,10.42
CHEMBL656,13.57
CHEMBL963,10.07
CHEMBL398707,10.11
CHEMBL19019,10.11
CHEMBL80,10.07
CHEMBL1213351,
CHEMBL1201294,
CHEMBL140050,10.21
CHEMBL742,
CHEMBL299031,
CHEMBL5276190,11.94
CHEMBL403893,
CHEMBL53,9.26
CHEMBL133836,
CHEMBL112,9.46
CHEMBL521,4.85
CHEMBL25,3.41
CHEMBL24,
CHEMBL12,
CHEMBL1064,
CHEMBL633,
CHEMBL529,12.43
CHEMBL1464,5.56
CHEMBL1431,
CHEMBL998,
CHEMBL1487,4.31
CHEMBL1790041,
CHEMBL35,4.25
CHEMBL384467,12.42
CHEMBL1503,9.68
CHEMBL1491,
CHEMBL1624,0.27
CHEMBL8,5.56
CHEMBL841,13.96
CHEMBL472,4.32
CHEMBL13,
CHEMBL532,12.45
CHEMBL139,4.00
CHEMBL1502,9.54
CHEMBL253376,
CHEMBL157101,
CHEMBL1741,12.46
CHEMBL1622,3.32
CHEMBL625,10.28
CHEMBL191,4.26
CHEMBL714,10.12
CHEMBL1560,4.02
CHEMBL27,
CHEMBL190,7.82
CHEMBL196,4.36
CHEMBL547,4.76
CHEMBL3833377,
CHEMBL12610,
CHEMBL896,
CHEMBL1705373,12.20
CHEMBL471,10.07
CHEMBL6966,
CHEMBL184,10.16
CHEMBL46,
CHEMBL185,7.18
CHEMBL192,7.63
CHEMBL41,
CHEMBL809,
CHEMBL549,
CHEMBL1508,
CHEMBL637,
CHEMBL894,
