"CID";"MolecularWeight";"XLogP";"HBondDonorCount";"HBondAcceptorCount"
54454;418.6;4.700;1;5
2118;308.8;2.100;0;3
54678486;308.3;2.700;1;4
3961;422.9;4.3;2;5
3016;284.74;3.000;0;2
2771;324.4;3.2;0;4
2160;277.4;5.000;0;1
5755;360.4;1.600;3;5
110635;389.4;2.3;1;4
446157;481.5;1.6;3;10
444;239.74;3.2;1;2
2554;236.27;2.500;1;1
5656;277.4;2.9;1;3
135398745;312.4;2.9;1;4
3152;379.5;4.3;0;4
3878;256.09;1.4;2;5
146570;324.4;3.2;0;4
60606;321.8;3.8;0;4
135400189;488.6;2.5;1;8
3639;297.7;-0.100;3;7
2764;331.34;-1.100;2;7
54671203;444.4;-0.700;6;9
5388962;376.4;-0.100;2;6
3365;306.27;0.400;1;7
3488;494.0;4.800;3;5
149096;361.4;-0.400;1;8
4171;267.36;1.900;2;4
156391;230.26;3.300;1;3
4679;383.4;2.4;1;9
54676228;331.3;3.100;2;6
5362129;416.5;1.400;2;6
3001055;314.41;0.300;2;7
135398744;474.6;1.5;1;8
5833;416.6;2.900;0;5
338;138.12;2.300;2;3
1549008;291.4;5.6;0;1
5284627;339.36;-0.8;1;9
33741;263.37;2.600;1;3
5732;307.4;2.500;0;2
60795;448.4;4.6;1;4
2662;381.4;3.4;1;7
2244;180.16;1.200;1;4
3672;206.28;3.500;1;2
4091;129.16;-1.3;3;1
1983;151.16;0.500;2;2
68617;306.2;4.8;1;1
5362119;405.5;-2.900;4;7
2162;408.9;3.000;2;7
4594;345.4;2.200;1;6
3386;309.33;4.000;1;5
5284373;1202.6;7.5;5;12
14969;1449.2;-2.6;19;26
445643;804.0;2.700;3;12
16129704;2180.3;-7.1;28;35
5311054;1155.4;-3.3;18;18
448601;1019.2;1.000;13;14
5311065;1069.2;-4.0;13;15
16129616;3431.9;-16.6;52;55
16135415;2639.2;-14.0;42;46
448812;832.0;-2.4;10;12
5282448;1508.3;-14.7;19;52
53396299;4187;-21.0;58;66
657181;1209.4;0.7;15;14
108147;842.0;1.1;8;12
16136912;1793.1;1.5;20;29
33309;302.35;2.900;2;5
21585658;1620.7;-5.1;22;28
139266768;788.4;"";16;25
5311128;1269.4;-1.5;17;16
6918173;1304.5;-6.4;15;18
6918011;1096.3;2.5;13;14
21888462;142.24;3.000;0;1
477468;1270.3;-1.6;16;24
53395955;3464.0;-16.7;56;55
76374506;541.6;0.5;4;10
133065662;1879.7;0.5;24;34
16133850;4118;-18.7;60;62
3001322;577.7;3.1;3;7
92722;508.6;1.3;5;8
16119814;1093.3;0.3;16;18
24801581;390.22;-0.1;2;4
50225;1239.4;-0.1;15;15
25074887;1431.0;1.9;16;16
21195079;261.5;"";0;0
77910626;730.7;-8.6;12;20
