"CID";"MolecularWeight";"XLogP";"HBondDonorCount";"HBondAcceptorCount"
2244;180.16;1.200;1;4
3672;206.28;3.500;1;2
4091;129.16;-1.3;3;1
1983;151.16;0.500;2;2
68617;306.2;4.8;1;1
5362119;405.5;-2.900;4;7
2162;408.9;3.000;2;7
4594;345.4;2.200;1;6
54454;418.6;4.700;1;5
3386;309.33;4.000;1;5
5284373;1202.6;7.5;5;12
14969;1449.2;-2.6;19;26
445643;804.0;2.700;3;12
16129704;2180.3;-7.1;28;35
5311054;1155.4;-3.3;18;18
448601;1019.2;1.000;13;14
5311065;1069.2;-4.0;13;15
16129616;3431.9;-16.6;52;55
16135415;2639.2;-14.0;42;46
