;MolecularWeight;XLogP;HBondDonorCount;HBondAcceptorCount;cluster;CID
1;418.6;4.7;1;5;0;2118.0
2;308.8;2.1;0;3;0;54678486.0
3;203.24;0.4;0;4;0;3961.0
4;204.24;-0.3;1;4;0;3016.0
8;202.55;2.3;0;4;0;110635.0
11;260.14;-4.8;7;9;0;2554.0
12;473.4;-1.2;7;9;0;5656.0
16;352.5;3.1;2;5;0;146570.0
17;290.4;3.7;1;2;0;60606.0
18;226.32;0.6;2;2;0;135400189.0
26;323.26;-4.5;9;11;0;4171.0
27;289.25;-3.3;8;8;0;156391.0
28;269.21;-2.7;4;8;0;4679.0
29;527.17;-6.9;10;17;0;54676228.0
33;216.13;-3.3;5;7;0;5833.0
43;242.19;-1.0;3;7;0;4091.0
44;214.17;-0.4;3;6;0;1983.0
48;258.12;-3.4;5;9;0;4594.0
54;867.7;-5.4;10;23;0;5311054.0
55;865.6;-5.2;9;23;0;448601.0
56;851.7;-4.2;9;22;0;5311065.0
57;655.0;16.1;2;2;0;16129616.0
58;655.0;15.8;1;2;0;16135415.0
59;639.0;16.6;1;1;0;448812.0
62;601.29;-7.7;9;17;0;657181.0
63;266.04;-3.7;5;10;0;108147.0
64;199.5;1.9;1;1;0;16136912.0
70;278.09;-2.8;4;9;0;6918011.0
75;427.2;-4.6;6;14;0;133065662.0
76;851.6;-5.8;9;23;0;16133850.0
78;288.4;3.2;1;2;0;92722.0
83;288.15;-4.0;6;10;0;21195079.0
84;324.18;-1.8;5;10;0;77910626.0
86;911.7;-6.6;11;25;0;
90;853.6;-5.8;10;23;0;
91;224.21;-2.5;4;6;0;
92;911.7;-6.5;11;25;0;
94;340.4;1.8;2;5;0;
96;909.6;-6.4;10;25;0;
99;340.28;-4.3;7;11;0;
101;849.6;-4.2;9;22;0;
102;683.1;16.0;2;3;0;
105;1156.1;-2.3;11;25;0;
114;213.06;-2.1;3;8;0;
115;214.07;-2.7;4;8;0;
117;229.13;-6.2;5;8;0;
118;225.2;-2.3;3;6;0;
123;521.31;-5.7;8;14;0;
124;200.14;-0.7;2;6;0;
132;220.13;-1.8;4;8;0;
133;299.21;-2.2;5;8;0;
134;402.36;-2.5;7;10;0;
138;456.4;-1.7;6;7;0;
141;420.7;6.7;3;3;0;
142;436.7;5.3;4;4;0;
143;534.26;-6.1;7;16;0;
144;251.24;-0.6;3;7;0;
145;473.4;-1.2;7;9;0;
146;220.22;-1.2;4;4;0;
148;459.5;-0.5;7;9;0;
150;303.34;-1.3;5;7;0;
151;297.34;-0.3;3;8;0;
152;229.13;-6.2;5;8;0;
153;314.19;-4.3;6;9;0;
154;286.18;-6.8;6;9;0;
155;295.19;-3.6;5;9;0;
156;313.2;-4.6;6;9;0;
160;352.5;2.8;3;5;0;
161;352.5;2.9;3;5;0;
162;354.5;2.7;4;5;0;
163;497.19;-9.6;9;16;0;
164;216.26;-2.1;2;5;0;
165;909.7;-5.0;10;24;0;
168;239.23;-3.0;4;6;0;
170;422.28;-6.4;9;14;0;
171;336.5;4.1;3;4;0;
172;314.3;-0.1;5;6;0;
174;384.6;8.0;1;1;0;
183;809.6;-5.6;9;22;0;
184;1130.5;15.8;6;12;0;
185;1333.6;13.7;9;17;0;
186;335.31;-5.7;7;9;0;
190;384.33;-4.2;7;12;0;
193;267.24;-1.1;4;8;0;
194;559.32;-6.1;8;18;0;
195;384.41;-3.5;5;11;0;
196;836.4;-8.3;10;27;0;
197;463.29;-3.2;7;15;0;
199;427.2;-4.6;6;14;0;
200;589.3;-6.2;9;19;0;
